round,weight_category,fighter_a_country,fighter_a,score,method,fighter_b,fighter_b_country,winner,event_name,start_date,end_date
SF,Men -80kg,INA,RAIHAN FADHILA Mhd,2:0,PTF,ZAW LIN Htet,MYA,RAIHAN FADHILA Mhd,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
QF,Men -80kg,MYA,ZAW LIN Htet,0:0,DSQ,VA Mithona,CAM,ZAW LIN Htet,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
F,Men -87kg,MAS,ZUBER Muhammad syafiq,1:2,PTF,CHO Chaichon,THA,CHO Chaichon,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
SF,Men -87kg,MAS,ZUBER Muhammad syafiq,2:0,PTF,DATES MOTA Messias,TLS,ZUBER Muhammad syafiq,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
SF,Men -87kg,THA,CHO Chaichon,2:0,PTF,NAUVAL Ossanando,INA,CHO Chaichon,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
QF,Men -87kg,TLS,DATES MOTA Messias,0:0,DSQ,CHHUN Soklong,CAM,DATES MOTA Messias,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
F,Women -46kg,THA,POOLKERD Patcharakan,2:0,PTF,SARZA Clarence,PHI,POOLKERD Patcharakan,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
SF,Women -46kg,THA,POOLKERD Patcharakan,2:0,PTF,NGUYEN Thi mai,VIE,POOLKERD Patcharakan,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
SF,Women -46kg,INA,PRIKASIH Ni Kadek Heni,0:2,PTF,SARZA Clarence,PHI,SARZA Clarence,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
QF,Women -46kg,THA,POOLKERD Patcharakan,2:0,PTF,HOMSOMBAT Sengdao,LAO,POOLKERD Patcharakan,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
QF,Women -46kg,TLS,DA COSTA DA SILVA PINTO BELO Ana,0:2,PTF,NGUYEN Thi mai,VIE,NGUYEN Thi mai,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
QF,Women -46kg,INA,PRIKASIH Ni Kadek Heni,2:0,PTF,TENG Xiao Xuan Cezann,SGP,PRIKASIH Ni Kadek Heni,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
QF,Women -46kg,MAS,HO Ee Jean,0:2,PTF,SARZA Clarence,PHI,SARZA Clarence,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
F,Women -49kg,THA,SEEKEN Kamonchanok,0:2,PTF,MANGIN Tachiana Keizha,PHI,MANGIN Tachiana Keizha,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
SF,Women -49kg,INA,DWI PUTRI Winda,0:2,PTF,MANGIN Tachiana Keizha,PHI,MANGIN Tachiana Keizha,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
SF,Women -49kg,THA,SEEKEN Kamonchanok,2:0,PTF,TRUONG Thi Kim Tuyen,VIE,SEEKEN Kamonchanok,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
QF,Women -49kg,MAS,ISHAK Nadia aina syazwani,0:2,PTF,TRUONG Thi Kim Tuyen,VIE,TRUONG Thi Kim Tuyen,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
QF,Women -49kg,INA,DWI PUTRI Winda,2:0,PTF,DO REGO CRUZ LEIN Domingas,TLS,DWI PUTRI Winda,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
QF,Women -49kg,LAO,DJANIGUIAN Phonnapha,0:2,PTF,MANGIN Tachiana Keizha,PHI,MANGIN Tachiana Keizha,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
QF,Women -49kg,THA,SEEKEN Kamonchanok,2:0,PTF,SAUNG JUNE Phyo,MYA,SEEKEN Kamonchanok,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
F,Women -53kg,THA,JONGKOLRATTANAWATTANA Chutikan,2:0,PTF,NGUYEN Thi loan,VIE,JONGKOLRATTANAWATTANA Chutikan,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
SF,Women -53kg,THA,JONGKOLRATTANAWATTANA Chutikan,2:0,PTF,MAHESWARI Megawati Tamesti,INA,JONGKOLRATTANAWATTANA Chutikan,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
SF,Women -53kg,PHI,CANABAL Baby jessica,0:2,PTF,NGUYEN Thi loan,VIE,NGUYEN Thi loan,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
QF,Women -53kg,TLS,SEMOI DO REGO CRUZ LEIN Teresa,0:2,PTF,NGUYEN Thi loan,VIE,NGUYEN Thi loan,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
QF,Women -53kg,SGP,TAN Nichelle,0:2,PTF,MAHESWARI Megawati Tamesti,INA,MAHESWARI Megawati Tamesti,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
QF,Women -53kg,PHI,CANABAL Baby jessica,2:0,PTF,MOHD FIRDAUS Norumar,MAS,CANABAL Baby jessica,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
F,Women -57kg,VIE,TRAN Thi anh tuyet,1:2,PTF,HARNSUJIN Phannapa,THA,HARNSUJIN Phannapa,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
SF,Women -57kg,VIE,TRAN Thi anh tuyet,2:0,PTF,MOE MYINT Myat,MYA,TRAN Thi anh tuyet,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
SF,Women -57kg,THA,HARNSUJIN Phannapa,2:0,PTF,LAMANDA Silvana,INA,HARNSUJIN Phannapa,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
QF,Women -57kg,MYA,MOE MYINT Myat,0:0,DSQ,CHHOEUNG Aliza,CAM,MOE MYINT Myat,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
F,Women -62kg,THA,TONGCHAN Sasikarn,2:0,PTF,CHAN Merica lillyn,PHI,TONGCHAN Sasikarn,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
SF,Women -62kg,PHI,CHAN Merica lillyn,0:0,DSQ,MAM Julie,CAM,CHAN Merica lillyn,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
SF,Women -62kg,THA,TONGCHAN Sasikarn,2:0,PTF,NAN THOUNARRY Kaung,MYA,TONGCHAN Sasikarn,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
QF,Women -62kg,MYA,NAN THOUNARRY Kaung,1:2,PTF,POETRI ISKANDAR Ingrid,SGP,POETRI ISKANDAR Ingrid,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
F,Women -67kg,CAM,VANN Borey,0:0,DSQ,CHAREEWAN Piyachatrutai,THA,CHAREEWAN Piyachatrutai,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
SF,Women -67kg,MYA,KAY THWE Mon Lin,0:2,PTF,CHAREEWAN Piyachatrutai,THA,CHAREEWAN Piyachatrutai,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
F,Women -73kg,VIE,BAC Thi khiem,2:0,PTF,DELO Laila,PHI,BAC Thi khiem,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
SF,Women -73kg,VIE,BAC Thi khiem,2:0,PTF,CHUENCHOOKLIN Kannaluck,THA,BAC Thi khiem,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
SF,Women -73kg,PHI,DELO Laila,0:0,DSQ,SOK Sreytoch,CAM,DELO Laila,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
QF,Women -73kg,LAO,SOTTHACHIT Thidasavanh,0:2,PTF,CHUENCHOOKLIN Kannaluck,THA,CHUENCHOOKLIN Kannaluck,33rd SEA Games Thailand 2025,2025-12-10,2025-12-13
F,Men -54kg,IND,MER Ankit,0:2,PTF,ASEM ATA ABU SREE' Moataz Bellah,EGY,ASEM ATA ABU SREE' Moataz Bellah,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
SF,Men -54kg,IND,MER Ankit,2:0,PTF,GEORGIEV Hristiyan,BUL,MER Ankit,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
SF,Men -54kg,JOR,ALDAOUD Ja'afar,1:2,PTF,ASEM ATA ABU SREE' Moataz Bellah,EGY,ASEM ATA ABU SREE' Moataz Bellah,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
QF,Men -54kg,KSA,ALMUSHRAF Abdullah Essa A,1:2,PTF,ASEM ATA ABU SREE' Moataz Bellah,EGY,ASEM ATA ABU SREE' Moataz Bellah,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
QF,Men -54kg,USA,GUN Youngsuk Ethan,1:2,PTF,GEORGIEV Hristiyan,BUL,GEORGIEV Hristiyan,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
QF,Men -54kg,JOR,ALDAOUD Ja'afar,2:0,PTF,AL TOOQI Nibras,OMA,ALDAOUD Ja'afar,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
QF,Men -54kg,IND,MER Ankit,2:0,PTF,OTERO SOUSA Javier,ESP,MER Ankit,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -54kg,OMA,AL TOOQI Nibras,2:0,PTF,GILLIARD GONCALVES Matheus,BRA,AL TOOQI Nibras,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -54kg,FRA,ALESIO CAPOLINI Mathis,1:2,PTF,ALMUSHRAF Abdullah Essa A,KSA,ALMUSHRAF Abdullah Essa A,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -54kg,KOR,SEO Eunsu,1:2,PTF,MER Ankit,IND,MER Ankit,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -54kg,USA,GUN Youngsuk Ethan,2:0,PTF,GARCIA Angelberto,MEX,GUN Youngsuk Ethan,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -54kg,JOR,ALDAOUD Ja'afar,2:1,PTF,RAZMIAN Mehdi,IRI,ALDAOUD Ja'afar,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -54kg,ESP,OTERO SOUSA Javier,2:0,PTF,DE Moises Eduardo,DOM,OTERO SOUSA Javier,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -54kg,KAZ,YENSEGENOV Yerkebulan,0:2,PTF,ASEM ATA ABU SREE' Moataz Bellah,EGY,ASEM ATA ABU SREE' Moataz Bellah,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -54kg,AIN,BALAKHNEEV Dmitriy,0:2,PTF,GEORGIEV Hristiyan,BUL,GEORGIEV Hristiyan,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -54kg,KOR,SEO Eunsu,2:0,PTF,MUCYO Ivan Iradukunda,RWA,SEO Eunsu,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -54kg,AIN,BALAKHNEEV Dmitriy,2:0,PTF,KAZLOU Aliaksandr,AIN,BALAKHNEEV Dmitriy,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -54kg,DOM,DE Moises Eduardo,2:1,PTF,GARCIA Noah,POR,DE Moises Eduardo,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -54kg,TUN,ZOGHLAMI Mohamed amine,0:2,PTF,ALMUSHRAF Abdullah Essa A,KSA,ALMUSHRAF Abdullah Essa A,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -54kg,BEN,MEDEDJI Abondance Elohim Selomin,0:2,PTF,GEORGIEV Hristiyan,BUL,GEORGIEV Hristiyan,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -54kg,JOR,ALDAOUD Ja'afar,2:0,PTF,HARRISON Mason,AUS,ALDAOUD Ja'afar,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -54kg,OMA,AL TOOQI Nibras,2:0,PTF,HANAFY Fayez,EST,AL TOOQI Nibras,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -54kg,INA,ACHMAD Raihan,0:2,PTF,ASEM ATA ABU SREE' Moataz Bellah,EGY,ASEM ATA ABU SREE' Moataz Bellah,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -54kg,ESP,OTERO SOUSA Javier,2:0,PTF,RAMOS. Brandon,PUR,OTERO SOUSA Javier,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -54kg,ISR,MANSUR Raz,0:2,PTF,GILLIARD GONCALVES Matheus,BRA,GILLIARD GONCALVES Matheus,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -54kg,POL,ZYWARSKI Filip,0:2,PTF,RAZMIAN Mehdi,IRI,RAZMIAN Mehdi,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -54kg,MAR,JOUAD Majd,0:2,PTF,YENSEGENOV Yerkebulan,KAZ,YENSEGENOV Yerkebulan,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -54kg,FRA,ALESIO CAPOLINI Mathis,2:0,PTF,PORTILLO Alexander,CAN,ALESIO CAPOLINI Mathis,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -54kg,BUR,LAGUEMVARE K youssef,1:2,PTF,GARCIA Angelberto,MEX,GARCIA Angelberto,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -54kg,TUR,YELALDI Kaan,0:2,PTF,MER Ankit,IND,MER Ankit,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -54kg,USA,GUN Youngsuk Ethan,2:0,PTF,NASR Nadim,LBN,GUN Youngsuk Ethan,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R64,Men -54kg,INA,ACHMAD Raihan,2:0,PTF,ARON Oloya,UGA,ACHMAD Raihan,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R64,Men -54kg,LBN,NASR Nadim,2:0,PTF,OGURE George William,KEN,NASR Nadim,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R64,Men -54kg,RWA,MUCYO Ivan Iradukunda,2:1,PTF,HASSAN Souheb,DJI,MUCYO Ivan Iradukunda,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R64,Men -54kg,BEN,MEDEDJI Abondance Elohim Selomin,2:0,PTF,BYIRINGIRO Pascal,TRT,MEDEDJI Abondance Elohim Selomin,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R64,Men -54kg,AUS,HARRISON Mason,2:0,PTF,MERY Byron,ECU,HARRISON Mason,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
F,Men -58kg,IRI,ZANDI Abolfazl,2:0,PTF,MAGOMEDOV Magomedgadzhi,AIN,ZANDI Abolfazl,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
SF,Men -58kg,GRE,DIMITROPOULOS Konstantinos,0:2,PTF,MAGOMEDOV Magomedgadzhi,AIN,MAGOMEDOV Magomedgadzhi,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
SF,Men -58kg,IRI,ZANDI Abolfazl,2:0,PTF,FONSECA Gabriel,BRA,ZANDI Abolfazl,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
QF,Men -58kg,IRI,ZANDI Abolfazl,2:0,PTF,CORTES Carlos,MEX,ZANDI Abolfazl,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
QF,Men -58kg,GRE,DIMITROPOULOS Konstantinos,2:0,PTF,YOUSIF Mahmoud Bassam,JOR,DIMITROPOULOS Konstantinos,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
QF,Men -58kg,FRA,BOUKARNIA Amine,0:2,PTF,MAGOMEDOV Magomedgadzhi,AIN,MAGOMEDOV Magomedgadzhi,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
QF,Men -58kg,USA,CUNNINGHAM William,0:2,PTF,FONSECA Gabriel,BRA,FONSECA Gabriel,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -58kg,UZB,MANSUROV Kamronbek,0:2,PTF,YOUSIF Mahmoud Bassam,JOR,YOUSIF Mahmoud Bassam,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -58kg,EGY,OSAMA HUSSEIEN Mohamed,0:2,PTF,CUNNINGHAM William,USA,CUNNINGHAM William,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -58kg,AIN,MAGOMEDOV Magomedgadzhi,2:0,PTF,MANENKOV Maksym,UKR,MAGOMEDOV Magomedgadzhi,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -58kg,AIN,CHARNIAK Viktar,0:2,PTF,CORTES Carlos,MEX,CORTES Carlos,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -58kg,FRA,BOUKARNIA Amine,2:0,PTF,OMRI Abdoullah,TUN,BOUKARNIA Amine,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -58kg,GRE,DIMITROPOULOS Konstantinos,2:0,PTF,RODRIGUEZ Ilay,PUR,DIMITROPOULOS Konstantinos,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -58kg,BRA,FONSECA Gabriel,2:0,PTF,VASILIC Todor,SRB,FONSECA Gabriel,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -58kg,IRI,ZANDI Abolfazl,2:0,PTF,ROJAS Iker Josue,ECU,ZANDI Abolfazl,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -58kg,POR,VAREJAO Dinis,0:2,PTF,CORTES Carlos,MEX,CORTES Carlos,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -58kg,UZB,MANSUROV Kamronbek,2:0,PTF,STEIN Roi,ISR,MANSUROV Kamronbek,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -58kg,GRE,DIMITROPOULOS Konstantinos,1:0,RSC,IRAKOZE Emmanuel,BDI,DIMITROPOULOS Konstantinos,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -58kg,TUN,OMRI Abdoullah,2:1,PTF,ISLAMOV Zhavokhirkhon,KAZ,OMRI Abdoullah,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -58kg,KEN,ODHIAMBO Willias,0:2,PTF,VASILIC Todor,SRB,VASILIC Todor,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -58kg,IRI,ZANDI Abolfazl,2:0,PTF,CHAKRAVARTI Shaurya,IND,ZANDI Abolfazl,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -58kg,ESP,DE DIOS JOSE Alex,1:2,PTF,CHARNIAK Viktar,AIN,CHARNIAK Viktar,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -58kg,EGY,OSAMA HUSSEIEN Mohamed,2:0,PTF,ABYD Oussama,MAR,OSAMA HUSSEIEN Mohamed,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -58kg,FRA,BOUKARNIA Amine,2:0,PTF,NXUMALO Gcinumuzi,SWZ,BOUKARNIA Amine,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -58kg,AIN,MAGOMEDOV Magomedgadzhi,2:0,PTF,ONGGOSANUSI Clement,VAN,MAGOMEDOV Magomedgadzhi,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -58kg,BRN,MOHAMMED Muath,0:2,PTF,RODRIGUEZ Ilay,PUR,RODRIGUEZ Ilay,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -58kg,TUR,CAMOGLU Furkan Ubeyde,0:2,PTF,CUNNINGHAM William,USA,CUNNINGHAM William,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -58kg,MAS,TAN Sebastian,0:2,PTF,ROJAS Iker Josue,ECU,ROJAS Iker Josue,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -58kg,BRA,FONSECA Gabriel,2:0,PTF,STRUGLINSKI Bartosz,POL,FONSECA Gabriel,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -58kg,LBN,ZARIFEH Marc,0:2,PTF,YOUSIF Mahmoud Bassam,JOR,YOUSIF Mahmoud Bassam,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -58kg,AUS,GRANIER-AMEUR Aikan,0:2,PTF,MANENKOV Maksym,UKR,MANENKOV Maksym,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R64,Men -58kg,IND,CHAKRAVARTI Shaurya,2:0,PTF,NDAHIRIWE Josue,TRT,CHAKRAVARTI Shaurya,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
F,Men -63kg,BUL,MITKOV Stanislav,1:2,PTF,AYDOGAN Hamza Osman,TUR,AYDOGAN Hamza Osman,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
SF,Men -63kg,TUR,AYDOGAN Hamza Osman,2:1,PTF,TLEULES Tamirlan,KAZ,AYDOGAN Hamza Osman,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
SF,Men -63kg,BUL,MITKOV Stanislav,2:1,PTF,SINGH Nitesh,IND,MITKOV Stanislav,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
QF,Men -63kg,PUR,SANTIAGO BURGOS Jose daniel,0:2,PTF,TLEULES Tamirlan,KAZ,TLEULES Tamirlan,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
QF,Men -63kg,BUL,MITKOV Stanislav,2:1,PTF,BANDAREVICH Maksim,AIN,MITKOV Stanislav,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
QF,Men -63kg,POL,SAFARYN Piotr,0:2,PTF,SINGH Nitesh,IND,SINGH Nitesh,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
QF,Men -63kg,TUR,AYDOGAN Hamza Osman,2:0,PTF,RAHNAMA Amirabbas,IRI,AYDOGAN Hamza Osman,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -63kg,SRB,KORNEEV Lev,1:2,PTF,SAFARYN Piotr,POL,SAFARYN Piotr,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -63kg,IRI,RAHNAMA Amirabbas,2:0,PTF,HISHAM MOHAMED Ahmed,EGY,RAHNAMA Amirabbas,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -63kg,TUR,AYDOGAN Hamza Osman,2:0,PTF,RAMIREZ Mauricio,ECU,AYDOGAN Hamza Osman,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -63kg,JOR,ALTARYREH Mahmoud,1:2,PTF,MITKOV Stanislav,BUL,MITKOV Stanislav,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -63kg,MEX,VALDES VAZQUEZ David,1:2,PTF,BANDAREVICH Maksim,AIN,BANDAREVICH Maksim,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -63kg,ETH,ZELEKE Zemedkun,0:2,PTF,SINGH Nitesh,IND,SINGH Nitesh,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -63kg,KOR,JUNG Woo-Hyeok,0:2,PTF,TLEULES Tamirlan,KAZ,TLEULES Tamirlan,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R16,Men -63kg,GER,CAVUSMAN Emre,1:2,PTF,SANTIAGO BURGOS Jose daniel,PUR,SANTIAGO BURGOS Jose daniel,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -63kg,KEN,AMWANZO Lesley Oure,0:2,PTF,HISHAM MOHAMED Ahmed,EGY,HISHAM MOHAMED Ahmed,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -63kg,RWA,SINDERIBUYE Nepo,0:2,PTF,BANDAREVICH Maksim,AIN,BANDAREVICH Maksim,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -63kg,GER,CAVUSMAN Emre,2:0,PTF,MASSANO Goncalo,POR,CAVUSMAN Emre,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -63kg,IRI,RAHNAMA Amirabbas,2:0,PTF,TOSSOU Benett Elvir Tanguy,BEN,RAHNAMA Amirabbas,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -63kg,DOM,DE Nicolas Emmanuel,0:1,PTF,SANTIAGO BURGOS Jose daniel,PUR,SANTIAGO BURGOS Jose daniel,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -63kg,BRA,FERREIRA Kauan,0:2,PTF,JUNG Woo-Hyeok,KOR,JUNG Woo-Hyeok,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -63kg,SRB,KORNEEV Lev,2:0,PTF,ROUAHI Adem,TUN,KORNEEV Lev,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -63kg,PLE,YASER ISMAIL Omar,1:2,PTF,TLEULES Tamirlan,KAZ,TLEULES Tamirlan,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -63kg,MAR,BOUTAYEB Choaeaib,0:2,PTF,SINGH Nitesh,IND,SINGH Nitesh,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -63kg,LBR,SWARAY Derrick,0:2,PTF,MITKOV Stanislav,BUL,MITKOV Stanislav,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -63kg,TUR,AYDOGAN Hamza Osman,2:0,PTF,BAMOUNI Mohali Aime Wilfried,CIV,AYDOGAN Hamza Osman,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -63kg,KSA,BIN Ahmed Waleed,0:2,PTF,SAFARYN Piotr,POL,SAFARYN Piotr,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
R32,Men -63kg,ETH,ZELEKE Zemedkun,2:1,PTF,MONTONE Luca,AUS,ZELEKE Zemedkun,Nairobi 2025 World Taekwondo Under 21 Championships,2025-12-03,2025-12-06
